Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
2009,"Mernissi, Fatima",The Forgotten queens of Islam,978-0-8166-2439-3,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZkhjgO2_Lu3NC6YmfZXkH-Lwn7d9BWAYdJw&usqp=CAU,2009,3/25/2022 3:48,229,,,Univ. Minnesota Press,US - Minneapolis,,eng,K10plus ISBN,,,,,,,"Lakeland, Mary Jo",,,,,,,,,,,,
2009,"Mikhail, Dunya",Diary of a wave outside the sea,978-0-8112-1831-3,https://www.goodreads.com/book/show/6401762-diary-of-a-wave-outside-the-sea,"Mikhail writes: “Death always looks for us. It comes from beyond the continents. It crosses long distances holding a basket of fire in its hand.” The two halves of Mikhail's book merge past and present in a lyrical memoir that moves between memories of her childhood, her father's death, her Iraqi poet-peers and friends, her job as a journalist for the Baghdad Observer, and culminates with the birth of her daughter Larsa.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358756349l/6401762.jpg,2009,2/24/2022 22:25,123,,A New Directions paperbook,New Directions,"US - New York, NY",,eng ara,Library of Congress ISBN,PJ7846.I392 Z4613 2009,OCLC: ocn268791789,,"Iraq; Biography; Women authors, Arab; Mīkhāʼīl, Dunyā",,,"Winslow, Elizabeth",,,,,,,,,,,,
2009,"yared, Nazik Saba",Canceled memories,978-0-8156-0937-7,https://www.goodreads.com/book/show/6409674-canceled-memories,"Set during the Lebanese civil war, this novel chronicles the splintering of the Al-Mukhtars, a Lebanese family whose love and trust for one another is strained by the increasing economic, social, and psychological tensions that surround them. Huda, feeling helpless as a housewife, pursues a career as a university professor and immerses herself in her work and students. Sharif, trapped in a static bureaucratic position, begins to resent his wife’s success and slowly withdraws from his family. When their marriage dissolves, the couple fight over the custody of their adolescent daughter. In a patriarchal society that favors the rights of the father, Huda is powerless as her daughter is taken from her. Through the author’s use of flashbacks, the reader witnesses the stark contrast between the young, idealistic couple and the older husband and wife, who have become increasingly isolated and disillusioned. Narrated through the voices of several characters, Canceled Memories depicts a Lebanese family seeking to maintain love and trust for each other despite the destructive and corrupting effects of war. Nadine Sinno’s fluent translation introduces a wider audience to one of Lebanon’s finest contemporary writers.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349011837l/6409674.jpg,2009,2/25/2022 2:35,151,,Middle East literature in translation,Syracuse University Press,"US - Syracuse, N.Y",,eng,Library of Congress ISBN,PJ7874.A77 D4513 2009,OCLC: ocn270131710,,,,,"Sinno, Nadine",,,,,,,,,,,,
2010,"Abdel Aal, Ghada","I want to get married! one wannabe bride's misadventures with handsome Houdinis, technicolor grooms, morality police, and other Mr. not-quite-rights",978-0-292-72397-9,https://www.goodreads.com/book/show/8459138-i-want-to-get-married,"The rules may differ from country to country, but the dating game is a universal constant. After years of searching for Mr. Right in living-room meetings arranged by family or friends, Ghada Abdel Aal, a young Egyptian professional, decided to take to the blogosphere to share her experiences and vent her frustrations at being young, single, and female in Egypt. Her blog, I Want to Get Married!, quickly became a hit with both men and women in the Arab world. With a keen sense of humor and biting social commentary, Abdel Aal recounts in painful detail her adventures with failed proposals and unacceptable suitors. There’s Mr. Precious, who storms out during their first meeting when he feels his favorite athlete has been slighted, and another suitor who robs her in broad daylight, to name just a few of the characters she runs across in her pursuit of wedded bliss. I Want to Get Married! has since become a best-selling book in Egypt and the inspiration for a television series. This witty look at dating challenges skewed representations of the Middle East and presents a realistic picture of what it means to be a single young woman in the Arab world, where, like elsewhere, a good man can be hard to find.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328021439l/8459138.jpg,2010,2/25/2022 2:57,160,,Emerging voices from the Middle East,Center for Middle Eastern Studies at the University of Texas,"US - Austin, TX",,eng,Library of Congress ISBN,HQ691.7 .A6313 2010,,,"Women; Egypt; Abdel Aal, Ghada; Arranged marriage; Blogs; Courtship; Social conditions Blogs",,,"Eltahawy, Nora",,,,,,,,,,,,
2010,"Djebar, Assia",The tongue's blood does not run dry: Algerian stories,978-1-58322-787-9,https://www.goodreads.com/book/show/1692885.The_Tongue_s_Blood_Does_Not_Run_Dry,"What happens when catastrophe becomes an everyday occurrence? Each of the seven stories in Assia Djebar’s The Tongue’s Blood Does Not Run Dry reaches into the void where normal and impossible realities coexist. All the stories were written in 1995 and 1996—a time when, by official accounts, some two hundred thousand Algerians were killed in Islamist assassinations and government army reprisals. Each story grew from a real conversation on the streets of Paris between the author and fellow Algerians about what was happening in their native land. Contemporary events are joined on the page by classical themes in Arab literature, whether in the form of Berber texts sung by the women of the Mzab or the tales from The Book of One Thousand and One Nights. The Tongue’s Blood Does Not Run Dry beautifully explores the conflicting realities of the role of women in the Arab world. With renowned and unparalleled skill, Assia Djebar gives voice to her longing for a world she has put behind her.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328809005l/1692885.jpg,2010,2/23/2022 18:01,,The tongue's blood does not run dry,,Seven Stories Press,US -New York,London,English,Open WorldCat,,OCLC: 477273955,,,,,"Raleigh, Tegan",,,,,,,,,,,,
2010,"Kachachi, Inaam",The American granddaughter,978-99921-42-04-2,https://www.goodreads.com/book/show/15793844-the-american-granddaughter,"At the beginning of America's occupation of Iraq, Zeina returns to her war-torn homeland as an interpreter for the US Army. Her formidable grandmother, the only family member that Zeina believes she has in Iraq, gravely disapproves of her granddaughter's actions. Then Zeina meets Haider and Muhaymin, two ""brothers"" she knows nothing of, and falls deeply in love with Muhaymin, a militant in the Al Mehdi Army. These experiences force her to question all her values.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376657440l/15793844.jpg,2010,2/24/2022 22:17,182,,,Bloomsbury Qatar Foundation,Qatar - Doha,,eng,K10plus ISBN,,,,,,,"Youssef, Nariman",,,,,,,,,,,,
2010,"Mernissi, Fatima","Scheherazade goes west: different cultures, different harems",978-0-7434-1243-8,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347729444l/177340.jpg,2010,3/25/2022 3:48,,Scheherazade goes west,,Washington Square Press,US - La Vergne,,English,Open WorldCat,,OCLC: 821140004,,,,,,,,,,,,,,,,,
2010,"Shibli, Adania",Touch,978-1-56656-807-4,https://www.goodreads.com/book/show/7629587-touch,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348787595l/7629587.jpg,2010,2/23/2022 5:03,72,,,Clockroot Books,"US - Northampton, Mass",,eng,Library of Congress ISBN,PJ7962.H425 M5713 2010,OCLC: ocn470360701,,,,,"Haydar, Paula",,,,,,,,,,,,
2010,"Zaydan, Amina",Red wine,978-977-416-389-0,https://www.goodreads.com/book/show/8606517-red-wine,"Suzie Mohamad Galal, born in the Egyptian city of Suez during the War of Attrition in the late 1960s, is a woman of inner conflicts, at once a fighter and a lover, who traverses the boundaries of ethnicity and religion. Her whole life is intricately tied to the wars and political events taking place in Egypt. But as she grapples with where to begin her story of personal and national crises, questions of narration arise: which metaphor best serves the layers of meaning she wants to communicate, and whose voice is telling the story anyway? Red Wine is both timely in its attention to the issues of state brutality, religious extremism, and gender, and timeless in the way it deals with the themes of coming of age, guilt, and sadness.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393219380l/8606517.jpg,2010,2/23/2022 17:39,195,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7876.A8975 N3313 2010,OCLC: ocn701111947,,Fiction; Young women; 20th century; Social conditions; Egypt Suez; Suez (Egypt),,,"Gomaa, Sally",,,,,,,,,,,,
2010,,Beirut 39: new writing from the Arab world,978-1-60819-202-1,https://www.goodreads.com/book/show/7640487-beirut-39,"Beirut is the 2009 World Book Capital, as designated by UNESCO, and at the center of the festivities, in collaboration with the world-renowned Hay Festival, is a competition to identify the thirty-nine most promising young talents in Arab literature. The selection of the ""Beirut 39"" follows the success of a similar competition in the 2007 World Book Capital, Bogotá, celebrating achievements in Latin American literature. This year, for the first time, the winners--nominated by publishers, literary critics, and readers across the Arab world and internationally, and selected by a panel of eminent Arab writers, academics, and journalists--will be published together in a one-of-a-kind anthology. Edited by Samuel Shimon of Banipal magazine, the collection will be published simultaneously in Arabic and English throughout the world by Bloomsbury and Bloomsbury Qatar Foundation Publishing. Beirut 39 provides an important look at the Arab-speaking world today, through the eyes of thirty-nine of its brightest young literary stars.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312062310l/7640487.jpg,2010,2/25/2022 14:09,304,Beirut 39,,Bloomsbury,US - New York,,eng,Library of Congress ISBN,PJ7694.E1 B45 2010,,,Translations into English; 20th century; Arabic literature; 21st century,"Shimon, Samuel",,,,,,,,,,,,,,
2011,"Al Ameer, Rasha",Judgment Day,978-977-416-481-1,https://www.goodreads.com/book/show/13482883-judgment-day?ac=1&from_search=true&qid=SXnFKERryC&rank=1,"Brought up in poverty in a remote part of an unstable Arab republic, the narrator studies Islamic law and Arabic and becomes a cleric and civil servant in the capital. At the age of almost 40 he accepts a position as imam of a mosque serving his compatriots in a richer and more cosmopolitan neighboring Arab country. His humdrum life changes when an educated and independent woman recruits him as consultant for a book on the great tenth-century Arab poet al- Mutanabbi. As their work together on his poetry leads to friendship and then love, the imam becomes embroiled in ideological conflict with activist Islamists at his mosque. Taken into protective custody after his enemies declare him apostate, and separated from the woman he loves, the imam chronicles how their relationship opened his eyes to a new world and taught him to overcome his old inhibitions. Judgment Day touches on debates within contemporary Islam and on the transformative and humanizing power of love between men and women. Judgment Day was first published in Arabic in 2002 as Yawm el Din and has gone through six editions: three in Lebanon, two in Algeria, and one in Egypt. A French version, translated by Youssef Seddik, was published by Actes Sud Sindbad in 2009. Rasha al Ameer is a Lebanese publisher, cultural critic, and author of two novels. She began writing while a student in Paris, with articles in the Arabic-language magazines An-Nahar al Arabi wal Douwali and Al Watan al Arabi. On her return to Lebanon she co-founded the avant-garde publishing house, Dar al Jadid, which has published works by former Iranian President Sayyed Mohammad Khatami and the late Palestinian poet Mahmoud Darwish. Her devotion to the classical Arabic language is apparent throughout her writings. Jonathan Wright is the translator of Khaled Al Khamissi’s Taxi and Alaa Al Aswany’s On the State of Egypt (AUC Press, 2011).",,"https://images-na.ssl-images-amazon.com/images/I/51KCb4xFJeL._SX322_BO1,204,203,200_.jpg",2011,2/23/2022 3:55,250,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7814.M5834 Y3813 2011,OCLC: ocn721887544,,,,,"Wright, Jonathan",,,,,,,,,,,,
2011,"Al Jubouri, Amal","Hagar before the occupation, Hagar after the occupation: poems",978-1-882295-89-0,https://www.goodreads.com/book/show/11570468-hagar-before-the-occupation-hagar-after-the-occupation,"""Through these poems, Amal al-Jubouri connects us to the earliest known poems, and yet the dialectic tension between them is utterly contemporary. Al-Jubouri writes 'This is my protest, this is my folly,' yet these poems are neither simple protest nor in any sense folly. These poems are both essential and eternal.""—Nick Flynn This translation of Iraqi author Amal al-Jubouri contextualizes America's occupation of Iraq through the Qur'an's story of Hagar. Complementary pairs of poems portray life before and after the war. This work simultaneously mirrors Hagar's desperate running between Safa and Marwah, as we pace frantically between pre- and post-occupation Iraq—the poet begging in vain for poetry not to abandon her people.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328699160l/11570468.jpg,2011,2/14/2022 2:32,140,"Hagar before the occupation, Hagar after the occupation",Alice James Books Translation Series,Alice James Books,"US - Farmington, Me",,eng ara,Library of Congress ISBN,PJ7840.U255 H3513 2011,,,,,,"Howell, Rebecca Gayle; Qaisi, Husam",,,,,,,,,,,,
2011,"Ashour, Radwa",Specters,978-1-56656-832-6,https://www.goodreads.com/book/show/8296483-specters,"Winner of the Cairo International Book Fair Prize. Specters tells the story of Radwa and Shagar, two women born the same day. The narrative alternates between their childhoods, their work lives (one a professor of literature and the other of history), their married and unmarried lives, and their respective books. With her novel’s structure, Ashour pays tribute to the Arab qareen (double or companion, and sometimes demon) and the ancient Egyptian ka (the spirit that is born with and accompanies an individual through life and beyond)",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348825657l/8296483.jpg,2011,2/14/2022 2:56,282,,,Interlink Books,"US - Northamton, MA",,eng,Library of Congress ISBN,PJ7814.S514 A8913 2011,,,,,,"Romaine, Barbara",,,,,,,,,,,,
2011,"El Saadawi, Nawal",Zeina,978-0-86356-417-8,https://www.goodreads.com/book/show/12139693-zeina?ac=1&from_search=true&qid=D332NZEEWi&rank=1,"Bodour, a distinguished literary critic and university professor, carries with her a dark secret. As a young university student, she fell in love with a political activist and gave birth to an illegitimate daughter, Zeina, whom she abandoned on the streets of Cairo. Zeina grows up to become one of Egypt's most beloved entertainers, despite being deprived of a name and a home. In contrast, Bodour remains trapped in a loveless marriage, pining for her daughter. In an attempt to find solace she turns to literature, writing a fictionalised account of her life. But then the novel goes missing. Bodour is forced on a journey of self discovery, reliving and reshaping her past and her future. Will Bodour ever discover who stole the novel? Is there any hope of her being reunited with Zeina?",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328776405l/12139693.jpg,2011,2/14/2022 3:39,,,,Saqi Books,UK - London,,Translated from the Arabic,Open WorldCat,,OCLC: 1133276525,,,,,"Nowaira, Amira",,,,,,,,,,,,
2011,"Hadi, Maysalun",Prophecy Of Pharaoh,978-1-4567-7087-7,https://www.goodreads.com/book/show/14360841-prophecy-of-pharaoh,"He was looking back every now and then as if someone was following his footsteps on the road. I got up and followed him outside to the garden and called his name... Yahya... Yahya. He looked back at me more than one, but did not answer me. I said to him, ""it's night time, where are you going, Yahya? As if he did not hear me, he walked on the passageway going outside. At that moment, I don't know why I looked at the floor and saw a snake following him. I screamed with my full voice to wake you all up, but my scream came out at the same moment the bombing happened. i fell to the floor and Yahya was gone.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347431872l/14360841.jpg,2011,2/23/2022 4:20,,,,Authorhouse,,,English,Open WorldCat,,OCLC: 1147840961,,,,,,,,,,,,,,,,,
2011,"Mosteghanemi, Ahlem",The art of forgetting,978-99921-94-51-5,https://www.goodreads.com/book/show/9681652-the-art-of-forgetting,"The Art of Forgetting is an elegant and warm-hearted meditation on love, damage, survival and restoration from an exhilarating stylist. As the title suggests, The Art of Forgetting offers women advice on how to move beyond the destructive men to a happier life. Full of wit and warmth, from an author who speaks from her heart and head at one and the same time.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311143811l/9681652.jpg,2011,2/25/2022 14:30,,,,Bloomsbury Qatar Foundation,Qatar - Doha,,Translated from the Arabic,Open WorldCat,,OCLC: 793811318,,,,,"Cohen, Raphael",,,,,,,,,,,,
2011,"Prince, Mona",So you may see,978-1-61797-461-8 978-1-306-50415-7 978-1-61797-176-1,https://www.goodreads.com/book/show/23063909-so-you-may-see,"This audacious novel opens with Ayn as she reflects on the act of writing and wonders if love alone is sufficient subject for a narrative. Haltingly at first, she weaves the tale of her love affair with Ali with witty asides about her own writing, and the limits and self-deceptions that are at the heart of all storytelling. As the story finds its way, through sea and desert, and the realms of mysticism and magic, we learn of a passionate, volatile relationship, one severely tested through countless separations, of Ayns relationships with other men, including her intense encounters with a Corsican ex-convict, and of her own desire to escape the confines of marriage, even to the man she loves. Disarmingly candid in the telling, So You May See leads us gently into a revolt, a fierce rebuttal of conventional romantic literature and an indictment of the sexual mores and unquestioned attitudes to marriage and relationships in contemporary Egypt.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410144568l/23063909.jpg,2011,2/24/2022 22:26,,,,American University in Cairo Press,,,English,Open WorldCat,,OCLC: 1097316672,,,,,"Cohen, Raphael",,,,,,,,,,,,
2011,"Said, Amina",The present tense of the world: poems 2000-2009,978-0-9842640-7-0,https://www.goodreads.com/book/show/13828057-the-present-tense-of-the-world,"Multi-award winning poet Amina Said was born in Tunis and has lived in Paris since 1978. Her work, though translated into German, Turkish, Arabic, and Italian, has only seen snippets translated into English. Poet Marilyn Hacker has edited and translated a survey of Said's poems from the last ten years in a fully bilingual anthology. The first survey of Said's works to appear in the English language.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348104379l/13828057.jpg,2011,2/25/2022 2:29,,The present tense of the world,,Black Widow Press,,,Parallel text on facing pages in French and English,Open WorldCat,,OCLC: 704389166,,,,,"Hacker, Marilyn",,,,,,,,,,,,
2011,"Tahawi, Miral",Brooklyn Heights,978-977-416-488-0,https://www.goodreads.com/book/show/11728757-brooklyn-heights,"Hind, newly arrived in New York with her eight-year-old son, several suitcases of unfinished manuscripts, and hardly any English, finds a room in a Brooklyn teeming with people like her who dream of becoming writers. As she discovers the various corners of her new home, they conjure up parallel memories from her childhood and her small Bedouin village in the Nile Delta: Emilia who sells used shoes at the flea market smells like Zeinab, the old woman who worked for Hind's grandfather; the reflection of her own body as she dances tango awakens the awkwardness of her relationship to that body across the years; the story of Lilette, the Egyptian bourgeoise who has lost her memory, prompts Hind to safeguard her own. Through this kaleidoscopic spectrum of disadvantaged characters we encounter unique but familiar life histories in this award-winning and intensely moving novel of displacement and exile.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348262039l/11728757.jpg,2011,2/14/2022 2:34,182,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7864.A3568 B7613 2011,OCLC: ocn769473618,,Egyptian Americans; Fiction; New York (State) New York,,,"Selim, Samah",,,,,,,,,,,,
2012,"Chreiteh, Alexandra",Always Coca-Cola,978-1-56656-843-2 978-1-56656-873-9,https://www.goodreads.com/book/show/12514971-always-coca-cola?ac=1&from_search=true&qid=WxZH9qeSSy&rank=1,"Always Coca-Cola is the story of three very different young women attending university in Beirut: Abeer, Jana, and Yasmine. The narrator, Abeer Ward (fragrant rose, in Arabic), daughter of a conservative family, admits wryly that her name is also the name of her father s flower shop. Abeer's bedroom window is filled by a view of a Coca-Cola sign featuring the image of her sexually adventurous friend, Jana",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348841046l/12514971.jpg,2012,2/14/2022 3:14,121,,A swallow editions book,Interlink Books,"US - Northampton, Mass",,eng,Library of Congress ISBN,PJ7962.H74 D3513 2012,OCLC: ocn731192037,,Fiction; Lebanon; Beirut (Lebanon); Young women,,,"Hartman, Michelle",,,,,,,,,,,,
2012,"Hussein, Hadiya",Beyond love,978-0-8156-0995-7,https://www.goodreads.com/book/show/13794871-beyond-love,"Hussein’s starkly beautiful novel Beyond Love plunges us into the 1991 Gulf War and its aftermath. Huda, the young woman at the center of the story, experiences the deprivation and humiliation of life in sanctioned Iraq, working in the satirically named al-Amal factory (factory of hope) making men’s underwear. While surveillance and fear permeate daily life, Huda dares to vote ""no"" in the referendum for Saddam Hussein. This courageous act could have cost her her life had she not fled to the closest border, Jordan, where the novel begins. Huda is not alone: Iraqi exiles are legion there, all waiting to be relocated and start new lives. Unable to go home and to feel settled in a foreign city, she struggles to overcome her grief and haunting memories of the war and the Shi’ite uprising. In letters, diaries, and oral stories, Hussein’s characters viscerally portray the pain of war and the alienation of exile. Originally published in Arabic in 2003, Beyond Love introduces English-language readers to one of the leading voices in Iraqi fiction today.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356089987l/13794871.jpg,2012,2/23/2022 4:52,168,,Middle East literature in translation,Syracuse University Press,"US - Syracuse, NY",,eng,Library of Congress ISBN,PJ7932.U77 M313 2012,,,,,,"Masmoudi, Ikram",,,,,,,,,,,,
2012,"Khalifeh, Sahar",Of noble origins,978-977-416-542-9,https://www.goodreads.com/book/show/12697984-of-noble-origins,"""The Qahtans are a Palestinian family that claims to have originated in the Arabian Peninsula, descended from the family of the Prophet Muhammad. This connection has given its members a certain ascendancy in their society, and has influenced their cultural and political choices. The true test occurs when the Qahtans, like other Palestinians, confront two enemies after the First World War: the British Mandate and the Zionist movement. Observing the gradual and increasing illegal Jewish immigration and land appropriation, the Palestinians come to realize they have been betrayed by a power that 'fulfilled their promises to the Jews and reneged on their promises to the Arabs.'""--",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348347068l/12697984.jpg,2012,2/23/2022 4:57,274,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7842.H2938 A9513 2012,OCLC: ocn748331417,,Fiction; Emigration and immigration; Betrayal; Palestinian Arabs,,,"Bamia, Aida A.",,,,,,,,,,,,
2012,"Madani, Rachida",Tales of a severed head,978-0-300-17628-5,https://www.goodreads.com/book/show/13594007-tales-of-a-severed-head,"A brilliant retelling of the classic Arab tale of Scheherazade, set in the present day This volume brings Moroccan poet Rachida Madani's remarkable poems to English-language readers for the first time. In Tales of a Severed Head, Madani addresses present-day issues surrounding the role of women in society—issues not unlike those explored a thousand years ago in the enduring collection of Arab tales known as The Thousand and One Nights. In the ancient tales, the insanely distrustful King Shehriyar vows to marry a new wife each night and have her beheaded the next morning, thus eliminating the risk of being cuckolded. Through the courage and wit of young Scheherazade, who volunteers to be the king's bride and then invents the legendary tales that go on for a thousand and one nights, Shehriyar is healed of his obsession and the kingdom's virgins are saved. Like her brave-hearted predecessor, Madani's modern-day Scheherazade is fighting for her own life as well as the lives of her fellow sufferers. But in today's world, the threat comes as much from poverty, official corruption, the abuse of human rights, and the lingering effects of colonialism as from the power wielded by individual men. Madani weaves a tale of contemporary resistance, and once again language provides a potent weapon.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344724152l/13594007.jpg,2012,2/23/2022 4:52,153,,The Margellos World Republic of Letters,Yale University Press,US - New Haven,,eng fre,Library of Congress ISBN,PQ3989.3.M335 C6613 2012,,,,,,"Hacker, Marilyn",,,,,,,,,,,,
2012,"Rifaat, Alifa",Distant view of a minaret: an other stories,978-0-435-90912-3,https://www.goodreads.com/book/show/206228.Distant_View_of_a_Minaret_and_Other_Stories,"""More convincingly than any other woman writing in Arabic today, Alifa Rifaat lifts the vil on what it means to be a women living within a traditional Muslim society."" So states the translator's foreword to this collection of the Egyptian author's best short stories. Rifaat (1930-1996) did not go to university, spoke only Arabic, and seldom traveled abroad. This virtual immunity from Western influence lends a special authenticity to her direct yet sincere accounts of death, sexual fulfillment, the lives of women in purdah, and the frustrations of everyday life in a male-dominated Islamic environment. Translated from the Arabic by Denys Johnson-Davies, the collection admits the reader into a hidden private world, regulated by the call of the mosque, but often full of profound anguish and personal isolation. Badriyya's despariting anger at her deceitful husband, for example, or the hauntingly melancholy of ""At the Time of the Jasmine,"" are treated with a sensitivity to the discipline and order of Islam.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172679166l/206228.jpg,2012,2/23/2022 4:28,116,Distant view of a minaret,African writers series,Heinemann,US - Harlow,,eng,K10plus ISBN,,,,,,,"Johnson-Davies, Denys",,,,,,,,,,,,
2012,"Shibli, Adania",We are all equally far from love,978-1-56656-863-0,https://www.goodreads.com/book/show/12166604-we-are-all-equally-far-from-love,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340795207l/12166604.jpg,2012,2/25/2022 2:32,148,,,Clockroot Books,"US - Northampton, MA",,eng,Library of Congress ISBN,PJ7962.H425 K7513 2012,,,,,,"Starkey, Paul",,,,,,,,,,,,
2012,"Yazbik, Samar",A woman in the crossfire: diaries of the Syrian revolution,978-1-908323-12-5,https://www.goodreads.com/book/show/13591934-a-woman-in-the-crossfire,"This work is a devastating and personal account of the ongoing uprising in Syria from a prominent Syrian journalist now in hiding. The author, a well known novelist and journalist from the coastal city of Jableh, has witnessed the first four months of the uprising first hand and actively participated in a variety of public actions and budding social movements. Throughout this period she kept a diary of personal reflections on, and observations of, this historic time. Because of the outspoken views she published in print and online, she quickly attracted the attention and fury of the regime, and vicious rumours started to spread about her disloyalty to the homeland and to the Alawite community that she belongs to. This narrative weaves together her independent struggle to protect herself and her young daughter even as her activism propels her into a daunting labyrinth of insecurity after she is forced from her home into living on the run and detained multiple times, expelled from the Alawite community and repudiated by her family, her hometown and even her childhood friends. With empathy and journalistic rigour she began to compile oral testimonies from ordinary Syrians, both as a means of documenting contemporary history and as a way for her to better understand the forces that contributed to the outbreak of the uprising. Filled with snapshots of exhilarating hope and horrifying atrocities, she offers us a unique perspective on the Syrian uprising. Hers is a modest yet powerful testament to the strength and commitment of countless unnamed, individual Syrians who have united to fight for their freedom. These diaries will inspire all those who read them and challenge the world to look anew at the trials and tribulations of the Syrian uprising",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348542016l/13591934.jpg,2012,2/23/2022 4:48,269,A woman in the crossfire,,Haus Pub,UK - London,,eng,Library of Congress ISBN,DS98.72.Y39 A3 2012,OCLC: ocn783151619,,"Politics and government; Social conditions; Women journalists; History; 2000-; 21st century; Civil War, 2011-; Diaries; Journalists; Political violence; Protest movements; Syria; Yazbik, Samar",,,"Weiss, Max; Schami, Rafik",,,,,,,,,,,,
2012,"Yazbik, Samar",Cinnamon,978-1-906697-43-3,https://www.goodreads.com/book/show/16057275-cinnamon,"After a bitter betrayal, Aliyah is banished from her mistress' villa at dawn and sent back to the dusty alleyways of her childhood. Exhausted, both maid and mistress seek refuge in sleep and dream of their troubled childhoods, loneliness, love, and their lives together. A darkly humorous tale, Cinnamon portrays the inner world of two Damascene women and their search for security and tenderness from two opposing ends of the social scale.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367339655l/16057275.jpg,2012,2/25/2022 2:37,124,,,Arabia Books,UK - London,,eng,Library of Congress ISBN,PJ7874.A86 R3513 2012,OCLC: ocn806200891,,Fiction; Damascus (Syria),,,"Danby, Emily",,,,,,,,,,,,
2013,"Barakat, Hoda",Hoda Barakat's Sayyidi wa habibi: the authorized abridged edition for students of Arabic,978-1-62616-002-6,https://www.goodreads.com/book/show/17871749-sayyidi-wa-habibi,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428498097l/17871749.jpg,2013,2/23/2022 18:05,102,Hoda Barakat's Sayyidi wa habibi,,Georgetown University Press,"US - Washington, DC",,eng,Library of Congress ISBN,PJ7816.A672 S2913 2013,,,"Adaptations; Barakāt, Hudá",,,"Familiar, Laila",,,,,,,,,,,,
2013,"Rifaat, Alifa",Erotic stories,978-1-84159-614-3 978-0-375-71239-5,https://www.goodreads.com/book/show/21304495-erotic-stories,"""A treasury of amorous tales from around the world, ranging from ancient Greek myths to modern stories of longing and lust.""--Front jacket flap",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394417064l/21304495.jpg,2013,2/25/2022 14:20,374,,Everyman's Pocket Classics,Alfred A. Knopf,US - New York,,,Library of Congress ISBN,PN6071.E7 E684 2013,OCLC: ocn861647158,,Erotic stories,"Pelling, Rowan",,,"Rifaat, Alifa",,,,,,,,,,,
2013,"Sharafeddine, Fatima",The servant,978-1-55498-307-0 978-1-55498-308-7,https://www.goodreads.com/book/show/16048683-the-servant,"Faten, a young servant girl, has her life changed when she meets Marwen, a young wealthy man, who drives her to challenge Lebanese societal standards",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361596362l/16048683.jpg,2013,2/23/2022 18:04,157,,,Groundwood Books/House of Anansi Press,Canada - Toronto,Berkley,eng,Library of Congress ISBN,PZ7.S529653 S47 2013,OCLC: ocn810526293,,Fiction; Social life and customs; Beirut (Lebanon); Middle East; Juvenile fiction; Education; Girls; Man-woman relationships; Secrecy; Self-realization in women; Self-reliance; Teenage girls; Women household employees,,,,,,,,,,,,,,,
